ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Month
12022018,JD200001,04/01/2020 01:00:00 PM,023XX N KEELER AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,0,0,2525,25.0,35.0,20.0,06,1147997.0,1915213.0,2020,04/08/2020 03:51:48 PM,41.923294863,-87.731630854,"(41.923294863, -87.731630854)",04
12021762,JD199709,04/01/2020 01:00:00 PM,001XX N HERMITAGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,1224,12.0,27.0,28.0,07,1164722.0,1900827.0,2020,04/08/2020 03:51:48 PM,41.883480183,-87.67058556399999,"(41.883480183, -87.670585564)",04
12027523,JD206123,04/01/2020 01:00:00 PM,071XX S CRANDON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE - GARAGE,0,0,334,3.0,5.0,43.0,11,1192786.0,1857988.0,2020,04/15/2020 03:48:26 PM,41.76528697,-87.568933892,"(41.76528697, -87.568933892)",04
12021754,JD199660,04/01/2020 01:00:00 PM,009XX W BUENA AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,1915,19.0,46.0,3.0,06,1169153.0,1928179.0,2020,04/08/2020 03:51:48 PM,41.958440465,-87.65351846700001,"(41.958440465, -87.653518467)",04
12021535,JD199371,04/01/2020 01:05:00 AM,001XX E 70TH ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,0,0,322,3.0,6.0,69.0,04A,1178542.0,1858639.0,2020,04/08/2020 03:51:48 PM,41.767408883,-87.621122219,"(41.767408883, -87.621122219)",04
12021470,JD199360,04/01/2020 01:10:00 AM,072XX S STONY ISLAND AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,1,0,324,3.0,7.0,43.0,06,1188071.0,1857123.0,2020,04/08/2020 03:51:48 PM,41.763027016,-87.586243072,"(41.763027016, -87.586243072)",04
12021475,JD199382,04/01/2020 01:10:00 AM,114XX S AVENUE H,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,0,0,433,4.0,10.0,52.0,04B,1202887.0,1829824.0,2020,04/08/2020 03:51:48 PM,41.687750669,-87.532871485,"(41.687750669, -87.532871485)",04
12021982,JD199627,04/01/2020 01:10:00 PM,032XX W DIVISION ST,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,0,0,1422,14.0,26.0,23.0,06,1154503.0,1907798.0,2020,04/08/2020 03:51:48 PM,41.902819704,-87.707924015,"(41.902819704, -87.707924015)",04
12023074,JD199638,04/01/2020 01:11:00 PM,016XX W 77TH ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,STREET,0,0,611,6.0,17.0,71.0,11,1166573.0,1853647.0,2020,04/08/2020 03:51:48 PM,41.753973746,-87.665135831,"(41.753973746, -87.665135831)",04
12021478,JD199377,04/01/2020 01:20:00 AM,013XX N LAVERGNE AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,RESIDENCE,0,0,2533,25.0,37.0,25.0,26,1142787.0,1908611.0,2020,04/08/2020 03:51:48 PM,41.905276989,-87.75093920299999,"(41.905276989, -87.750939203)",04
